                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                0.52515,                0.30549,                 1.0043,                0.59638,                0.28628,                 1.0266,                 0.9745,                 0.9602,                0.99228,                 0.8809,                0.45984,                0.24452,                0.98614,                0.47963,                0.20618,                0.99622,               0.004951,               0.004951,               0.004951
                    105,                0.52417,                0.30879,                0.99896,                0.58727,                0.28413,                 1.0179,                0.97445,                0.97095,                0.99244,                 0.8845,                0.46679,                0.25171,                0.98562,                0.48503,                0.20329,                0.99525,              0.0049015,              0.0049015,              0.0049015
                    106,                0.52301,                0.30522,                 0.9998,                0.58421,                0.28104,                 1.0198,                0.98191,                0.97514,                0.99294,                0.88519,                0.46254,                0.24081,                 0.9882,                0.47839,                0.19585,                0.99484,               0.004852,               0.004852,               0.004852
                    107,                0.51703,                0.30278,                0.99485,                0.57579,                 0.2675,                 1.0116,                0.98426,                 0.9642,                0.99268,                0.89203,                0.45524,                0.24179,                0.97872,                0.47266,                0.19809,                0.98827,              0.0048025,              0.0048025,              0.0048025
                    108,                 0.5175,                0.29756,                0.99885,                0.58225,                0.26546,                 1.0172,                0.97331,                0.96846,                0.99202,                0.88823,                0.45431,                0.23556,                 0.9782,                0.46959,                0.19989,                0.98337,               0.004753,               0.004753,               0.004753
                    109,                0.51924,                0.30089,                 1.0017,                0.58449,                0.27572,                 1.0222,                0.97495,                0.96951,                0.99214,                0.88791,                0.45547,                0.23713,                0.98118,                  0.478,                0.20624,                0.99123,              0.0047035,              0.0047035,              0.0047035
                    110,                 0.5123,                 0.3028,                0.99186,                0.57894,                0.26768,                 1.0116,                0.97454,                 0.9782,                0.99343,                0.89052,                0.44964,                0.23463,                0.97988,                0.46514,                0.18584,                0.98899,               0.004654,               0.004654,               0.004654
                    111,                0.50894,                0.29906,                0.99207,                0.57021,                0.26625,                 1.0138,                0.97101,                0.97589,                0.99199,                0.88919,                0.45063,                0.23508,                 0.9762,                0.46872,                0.19095,                0.98606,              0.0046045,              0.0046045,              0.0046045
                    112,                0.51116,                0.29477,                  0.992,                0.57085,                0.26872,                   1.01,                0.96702,                0.96619,                0.99188,                0.88953,                0.45586,                0.23528,                0.97935,                0.47134,                0.20614,                0.98493,               0.004555,               0.004555,               0.004555
                    113,                0.52078,                0.29978,                0.99622,                0.58012,                 0.2703,                 1.0143,                0.95814,                0.97623,                  0.992,                0.88866,                0.44913,                0.23674,                0.97836,                0.46251,                0.20583,                0.98613,              0.0045055,              0.0045055,              0.0045055
                    114,                0.51205,                0.29764,                0.99571,                0.57387,                0.25929,                 1.0139,                0.96494,                0.97839,                0.99242,                0.88876,                0.45325,                0.23158,                0.97984,                0.46948,                0.20187,                0.99165,               0.004456,               0.004456,               0.004456
                    115,                0.51107,                0.29775,                0.99316,                0.57078,                0.25334,                 1.0121,                0.96329,                0.98211,                 0.9916,                0.88777,                0.45308,                0.23295,                0.98182,                0.47123,                0.19409,                0.98967,              0.0044065,              0.0044065,              0.0044065
                    116,                0.50968,                0.29399,                0.99047,                0.56618,                0.25654,                 1.0075,                0.97572,                0.97485,                0.99365,                0.89265,                0.45263,                0.23441,                0.97972,                0.46565,                0.18841,                0.98588,               0.004357,               0.004357,               0.004357
                    117,                0.50621,                 0.2896,                0.98978,                0.56442,                0.24441,                 1.0054,                0.98007,                0.97638,                0.99278,                0.88696,                0.45358,                0.23631,                0.98206,                0.47447,                 0.1893,                0.99191,              0.0043075,              0.0043075,              0.0043075
                    118,                0.50421,                0.28847,                0.99304,                 0.5597,                0.24949,                 1.0111,                0.97436,                0.97877,                0.99233,                0.89199,                0.44929,                0.22677,                0.98102,                 0.4675,                0.19206,                0.99155,               0.004258,               0.004258,               0.004258
                    119,                0.51132,                0.29392,                0.99502,                0.56839,                0.24861,                 1.0156,                0.96857,                0.97702,                0.99297,                0.89045,                0.45317,                0.22973,                0.98045,                0.46828,                 0.1859,                 0.9881,              0.0042085,              0.0042085,              0.0042085
                    120,                0.51005,                0.29144,                0.99255,                0.56665,                0.24316,                  1.011,                0.97036,                0.97816,                0.99213,                0.89307,                0.45016,                0.22752,                0.97656,                0.46259,                0.18815,                0.98409,               0.004159,               0.004159,               0.004159
                    121,                0.50789,                0.29365,                0.98959,                0.56864,                0.25341,                 1.0066,                0.97471,                0.97437,                0.99309,                0.88979,                0.45438,                 0.2295,                0.98086,                0.46622,                0.18544,                0.98912,              0.0041095,              0.0041095,              0.0041095
                    122,                0.50275,                0.28965,                0.99372,                0.55857,                0.24549,                   1.01,                0.98304,                0.97578,                0.99348,                0.88765,                 0.4525,                0.22904,                 0.9791,                0.47002,                0.17973,                0.98665,                0.00406,                0.00406,                0.00406
                    123,                0.50163,                0.28738,                0.99444,                0.55267,                0.23789,                 1.0118,                0.98742,                0.96806,                0.99307,                0.89056,                0.44749,                0.22621,                0.97785,                0.46153,                0.18232,                0.98265,              0.0040105,              0.0040105,              0.0040105
                    124,                0.50391,                0.29068,                0.99274,                0.55937,                0.24408,                 1.0087,                0.98011,                0.98283,                 0.9924,                0.89325,                0.44577,                0.22966,                0.97706,                0.45969,                0.17614,                0.98259,               0.003961,               0.003961,               0.003961
                    125,                0.50723,                0.28725,                0.98812,                0.56218,                 0.2384,                 1.0032,                 0.9811,                0.96686,                0.99324,                0.89197,                0.44747,                0.23271,                0.97597,                0.46254,                0.18457,                0.98162,              0.0039115,              0.0039115,              0.0039115
                    126,                0.50044,                0.28319,                0.98915,                0.55313,                0.23639,                 1.0034,                0.97412,                0.97411,                0.99304,                0.89346,                0.44808,                0.22903,                 0.9766,                0.46464,                0.18676,                0.98323,               0.003862,               0.003862,               0.003862
                    127,                0.50276,                 0.2886,                 0.9881,                0.56253,                0.24883,                 1.0037,                0.98076,                0.97146,                0.99334,                0.89483,                0.44711,                0.22649,                0.97412,                0.46278,                0.17943,                0.98151,              0.0038125,              0.0038125,              0.0038125
                    128,                0.50551,                0.28587,                0.99497,                0.56553,                0.25647,                 1.0118,                0.97848,                0.97859,                0.99299,                0.90239,                 0.4441,                0.22323,                0.97232,                0.45434,                 0.1777,                0.97756,               0.003763,               0.003763,               0.003763
                    129,                0.49679,                0.28948,                0.98443,                0.55251,                0.25317,                 1.0024,                0.98032,                0.96936,                0.99294,                0.89492,                0.44571,                0.22572,                0.97476,                0.45651,                0.18359,                0.98336,              0.0037135,              0.0037135,              0.0037135
                    130,                0.50416,                0.28999,                0.99124,                0.55625,                0.24882,                 1.0076,                 0.9707,                0.98306,                  0.993,                0.89035,                0.44257,                0.22151,                 0.9737,                0.45766,                0.18363,                0.98377,               0.003664,               0.003664,               0.003664
                    131,                0.49504,                0.28725,                 0.9827,                0.55139,                0.24398,                0.99837,                 0.9839,                0.96369,                  0.993,                0.89534,                0.44234,                0.22301,                0.97295,                0.45367,                0.18252,                0.97986,              0.0036145,              0.0036145,              0.0036145
                    132,                0.50517,                0.28666,                0.98903,                0.55637,                0.24544,                 1.0054,                0.98813,                0.96905,                0.99325,                 0.8932,                0.44436,                0.22484,                0.97533,                0.45759,                0.17879,                0.98118,               0.003565,               0.003565,               0.003565
                    133,                 0.4905,                0.28119,                0.98208,                0.54726,                0.23435,                0.99731,                0.98479,                0.98173,                 0.9935,                 0.8966,                0.44293,                0.21939,                0.97514,                0.45509,                0.17685,                0.98042,              0.0035155,              0.0035155,              0.0035155
                    134,                0.49163,                0.28039,                0.98495,                0.54469,                0.23394,                 1.0001,                0.98381,                 0.9793,                0.99359,                  0.892,                0.44402,                0.22258,                0.97538,                0.45749,                0.17789,                0.98051,               0.003466,               0.003466,               0.003466
                    135,                0.48944,                0.27623,                0.97808,                0.54079,                0.23668,                0.99237,                0.97288,                  0.985,                 0.9936,                 0.8945,                0.44563,                0.22432,                0.97551,                0.45682,                0.17518,                 0.9811,              0.0034165,              0.0034165,              0.0034165
                    136,                0.49756,                0.28285,                0.98041,                0.55556,                0.24313,                 0.9941,                  0.983,                0.97466,                 0.9936,                0.89765,                0.44515,                0.22338,                0.97529,                0.45817,                0.17867,                0.97934,               0.003367,               0.003367,               0.003367
                    137,                0.49419,                0.28232,                0.98816,                0.54751,                0.23543,                 1.0011,                0.98167,                0.97795,                0.99373,                0.89407,                0.44658,                0.22196,                0.97575,                0.46036,                0.17382,                0.98169,              0.0033175,              0.0033175,              0.0033175
                    138,                0.48984,                0.27485,                0.98031,                0.53819,                0.22678,                0.99246,                0.98624,                0.98335,                0.99351,                 0.8961,                0.44469,                0.21942,                0.97555,                0.45468,                0.17275,                0.98051,               0.003268,               0.003268,               0.003268
                    139,                0.48623,                0.27019,                 0.9746,                0.53533,                0.22577,                0.98981,                0.97908,                0.98558,                0.99404,                0.89379,                 0.4479,                0.21907,                0.97562,                0.45825,                0.17485,                0.97885,              0.0032185,              0.0032185,              0.0032185
                    140,                 0.4919,                0.27991,                0.97439,                0.54495,                 0.2363,                 0.9905,                0.97681,                0.98759,                0.99408,                0.89467,                0.44342,                0.21544,                0.97533,                0.45542,                0.17282,                0.97873,               0.003169,               0.003169,               0.003169
                    141,                0.48609,                0.27576,                 0.9747,                0.54195,                0.23926,                0.98845,                0.98192,                0.97561,                0.99358,                0.89672,                0.44377,                0.21581,                0.97571,                0.45325,                0.17174,                0.97807,              0.0031195,              0.0031195,              0.0031195
                    142,                0.49258,                0.27284,                0.98237,                0.54003,                0.22894,                 0.9933,                0.97814,                 0.9854,                 0.9935,                0.89476,                0.44384,                0.21848,                0.97568,                0.45416,                0.17196,                0.97927,                0.00307,                0.00307,                0.00307
                    143,                0.48441,                0.26925,                0.97913,                0.53118,                0.22219,                 0.9925,                0.97972,                0.97836,                0.99332,                0.89714,                0.44385,                0.21782,                0.97447,                0.45532,                0.17145,                0.97817,              0.0030205,              0.0030205,              0.0030205
                    144,                0.49627,                0.27341,                0.98317,                0.54828,                0.22958,                0.99666,                0.98252,                 0.9771,                0.99352,                0.89991,                0.44219,                0.21846,                0.97433,                0.45454,                0.17503,                0.97916,               0.002971,               0.002971,               0.002971
                    145,                0.48918,                0.27534,                 0.9828,                0.54291,                0.22971,                0.99658,                0.97843,                0.98283,                0.99346,                0.89563,                0.44442,                0.21929,                0.97531,                 0.4582,                0.17279,                0.97922,              0.0029215,              0.0029215,              0.0029215
                    146,                0.48183,                0.26947,                0.97949,                0.52908,                0.22518,                0.99326,                0.98015,                0.98484,                0.99332,                0.89477,                0.44768,                0.21887,                0.97816,                0.46017,                0.17845,                0.98073,               0.002872,               0.002872,               0.002872
                    147,                0.48489,                0.27364,                0.97697,                0.53182,                0.22914,                0.98882,                0.97381,                 0.9861,                0.99361,                0.89548,                0.44272,                0.21702,                0.97405,                0.45281,                0.17145,                0.97643,              0.0028225,              0.0028225,              0.0028225
                    148,                0.48483,                 0.2714,                0.97454,                0.53382,                  0.229,                0.98564,                0.97883,                0.97225,                 0.9934,                0.89422,                0.44362,                 0.2156,                 0.9746,                0.45023,                0.17435,                0.97627,               0.002773,               0.002773,               0.002773
                    149,                0.48057,                0.27172,                0.97593,                0.52911,                0.22887,                0.98939,                0.97775,                0.97807,                0.99349,                0.89429,                0.44441,                0.21629,                0.97505,                0.45243,                0.17266,                0.97559,              0.0027235,              0.0027235,              0.0027235
                    150,                 0.4822,                0.26746,                0.97698,                0.52723,                0.22686,                0.98973,                0.98752,                0.96763,                0.99349,                0.89324,                0.44113,                0.21521,                0.97301,                0.44944,                0.17554,                0.97386,               0.002674,               0.002674,               0.002674
                    151,                 0.4792,                0.26539,                0.97356,                0.52878,                0.22564,                0.98516,                0.98347,                 0.9804,                0.99352,                0.89539,                 0.4459,                 0.2149,                0.97644,                0.45765,                0.17113,                0.97717,              0.0026245,              0.0026245,              0.0026245
                    152,                0.48036,                0.26712,                0.97021,                0.52909,                0.22211,                0.98256,                0.98651,                0.98121,                 0.9934,                0.89438,                0.44736,                0.21588,                0.97762,                 0.4599,                0.17195,                0.97941,               0.002575,               0.002575,               0.002575
                    153,                0.47191,                0.26324,                0.96787,                 0.5184,                0.22015,                0.97892,                0.97718,                  0.987,                0.99372,                0.89569,                0.44494,                0.21509,                0.97583,                0.45819,                0.17227,                0.97985,              0.0025255,              0.0025255,              0.0025255
                    154,                0.48084,                0.26221,                0.97384,                0.52606,                0.21871,                0.98553,                0.98028,                0.98486,                0.99365,                0.89569,                0.44422,                0.21116,                0.97477,                0.45691,                0.16879,                0.98093,               0.002476,               0.002476,               0.002476
                    155,                 0.4773,                0.26097,                0.97278,                 0.5252,                0.21807,                0.98451,                0.98877,                 0.9826,                0.99383,                0.89783,                0.44032,                0.21063,                0.97282,                0.45265,                0.16259,                0.97854,              0.0024265,              0.0024265,              0.0024265
                    156,                0.48213,                0.26391,                0.97395,                0.52696,                0.21604,                0.98579,                0.98442,                0.97863,                0.99376,                0.89767,                0.43888,                0.21076,                0.97221,                 0.4524,                0.16726,                0.97749,               0.002377,               0.002377,               0.002377
                    157,                0.46969,                0.26415,                0.97017,                0.51558,                 0.2197,                0.98075,                0.99229,                0.97717,                0.99401,                0.89313,                0.44142,                0.21228,                0.97454,                0.45568,                 0.1648,                0.97965,              0.0023275,              0.0023275,              0.0023275
                    158,                0.47767,                0.26621,                0.96855,                0.52705,                0.22357,                0.98114,                0.98258,                 0.9847,                0.99394,                0.89447,                0.44265,                0.21418,                0.97396,                0.45348,                 0.1673,                0.97632,               0.002278,               0.002278,               0.002278
                    159,                 0.4738,                0.26467,                0.97268,                0.52164,                0.21937,                0.98219,                0.97952,                0.98613,                0.99373,                0.89784,                0.44422,                0.21631,                0.97366,                0.45303,                0.16855,                0.97522,              0.0022285,              0.0022285,              0.0022285
                    160,                0.47219,                0.26649,                0.96988,                0.52037,                0.22278,                0.98064,                0.98372,                0.97667,                0.99355,                0.89435,                0.44591,                0.21459,                0.97598,                  0.456,                0.17214,                0.97691,               0.002179,               0.002179,               0.002179
                    161,                 0.4707,                0.25702,                0.97048,                0.51572,                0.21413,                0.98162,                 0.9724,                0.98578,                0.99348,                0.89568,                0.44529,                0.21347,                0.97494,                0.45461,                0.17369,                0.97574,              0.0021295,              0.0021295,              0.0021295
                    162,                  0.473,                0.25995,                0.96914,                0.52282,                0.22646,                0.98025,                0.97507,                0.98712,                0.99331,                0.89296,                0.44558,                0.21467,                0.97553,                0.45575,                0.17155,                0.97792,                0.00208,                0.00208,                0.00208
                    163,                0.46587,                0.25981,                0.96389,                0.51183,                0.21981,                0.97542,                 0.9772,                0.98442,                0.99347,                0.89462,                 0.4452,                0.21296,                0.97556,                0.45338,                 0.1718,                 0.9779,              0.0020305,              0.0020305,              0.0020305
                    164,                 0.4662,                0.25909,                0.96519,                0.51264,                0.21552,                0.97611,                0.98438,                 0.9772,                0.99355,                0.89577,                0.44473,                0.21271,                0.97525,                 0.4532,                0.17083,                0.97785,               0.001981,               0.001981,               0.001981
                    165,                0.46393,                0.25632,                0.96554,                0.50808,                0.21167,                  0.975,                0.98313,                0.98456,                0.99223,                0.89282,                0.44433,                0.21122,                0.97581,                0.45397,                0.16727,                0.97815,              0.0019315,              0.0019315,              0.0019315
                    166,                0.47016,                0.25897,                0.96457,                0.51546,                0.21689,                0.97356,                0.98638,                0.97841,                0.99405,                0.89537,                0.44189,                0.21066,                0.97497,                0.45257,                0.16456,                0.97742,               0.001882,               0.001882,               0.001882
                    167,                0.46296,                0.25432,                0.96322,                0.50794,                0.20876,                0.97134,                0.97432,                0.98794,                0.99391,                0.89164,                0.44332,                 0.2101,                0.97578,                 0.4558,                0.17141,                0.97786,              0.0018325,              0.0018325,              0.0018325
                    168,                0.46397,                0.25854,                0.96433,                0.50926,                0.21598,                0.97404,                0.98463,                 0.9793,                0.99407,                0.89455,                 0.4439,                0.20871,                0.97563,                0.45544,                0.16591,                0.97696,               0.001783,               0.001783,               0.001783
                    169,                0.46069,                0.25228,                0.96555,                0.50377,                0.20627,                0.97447,                 0.9855,                0.99098,                0.99426,                0.89735,                0.44266,                0.20742,                0.97419,                0.45346,                0.15556,                0.97585,              0.0017335,              0.0017335,              0.0017335
                    170,                0.46491,                0.25512,                0.96209,                0.51293,                0.21119,                0.97287,                0.98509,                0.98855,                0.99422,                0.89624,                0.44367,                0.20781,                0.97506,                0.45553,                0.15828,                0.97744,               0.001684,               0.001684,               0.001684
                    171,                0.46165,                 0.2547,                0.96453,                0.50418,                0.21144,                0.97541,                0.98208,                0.98206,                0.99405,                0.89284,                0.44227,                0.20647,                0.97433,                0.45521,                0.16103,                0.97752,              0.0016345,              0.0016345,              0.0016345
                    172,                0.46584,                0.25523,                0.96468,                0.50883,                0.21433,                0.97556,                0.98607,                0.98337,                0.99414,                0.89601,                0.44194,                0.20514,                0.97468,                0.45273,                0.16153,                0.97666,               0.001585,               0.001585,               0.001585
                    173,                0.46244,                0.24957,                 0.9607,                0.50983,                0.20653,                0.97071,                0.98025,                0.99011,                0.99405,                0.89491,                0.44162,                0.20766,                0.97536,                 0.4526,                0.16154,                0.97679,              0.0015355,              0.0015355,              0.0015355
                    174,                0.46226,                0.25489,                 0.9653,                0.50477,                0.20796,                0.97483,                0.99116,                0.98324,                0.99413,                0.89326,                0.44097,                0.20872,                0.97372,                 0.4527,                0.16117,                0.97662,               0.001486,               0.001486,               0.001486
                    175,                0.45904,                0.25206,                0.96206,                0.50389,                0.20872,                 0.9706,                0.98336,                0.98733,                 0.9939,                0.89416,                0.44078,                0.20795,                0.97288,                0.45276,                0.16462,                0.97693,              0.0014365,              0.0014365,              0.0014365
                    176,                0.45838,                0.24941,                0.96342,                0.49896,                0.20456,                0.97201,                0.98586,                0.97843,                0.99409,                0.89566,                 0.4411,                0.20849,                0.97326,                0.45273,                0.16562,                0.97649,               0.001387,               0.001387,               0.001387
                    177,                0.45996,                0.25091,                0.96133,                0.50365,                 0.2082,                0.96935,                0.98168,                 0.9835,                 0.9941,                0.89568,                0.44021,                0.20908,                0.97283,                0.45144,                 0.1628,                0.97535,              0.0013375,              0.0013375,              0.0013375
                    178,                0.45597,                0.24743,                0.96138,                0.49545,                0.19962,                0.96998,                0.98334,                0.98702,                0.99415,                0.89462,                0.44084,                0.20837,                 0.9724,                0.45219,                0.16217,                0.97445,               0.001288,               0.001288,               0.001288
                    179,                0.45961,                0.25098,                0.95917,                0.50143,                0.21032,                0.97021,                0.97804,                0.98701,                0.99392,                0.89496,                0.44163,                0.20789,                 0.9734,                0.45263,                0.16472,                0.97577,              0.0012385,              0.0012385,              0.0012385
                    180,                0.45306,                0.24497,                0.95547,                0.49118,                0.20004,                 0.9642,                0.97533,                0.98621,                0.99367,                0.89616,                0.44119,                0.20824,                0.97414,                0.45158,                0.16751,                0.97666,               0.001189,               0.001189,               0.001189
                    181,                0.45142,                0.24247,                0.95284,                0.49114,                0.19884,                0.96235,                0.97418,                0.98834,                0.99362,                0.89741,                0.44183,                0.20684,                0.97433,                0.45178,                0.16886,                0.97628,              0.0011395,              0.0011395,              0.0011395
                    182,                0.45172,                0.24426,                0.95742,                0.49143,                0.20343,                0.96504,                0.97372,                0.99098,                0.99382,                 0.8966,                0.44321,                0.20661,                0.97569,                 0.4522,                0.16704,                0.97565,                0.00109,                0.00109,                0.00109
                    183,                0.44999,                0.24207,                0.94983,                0.49262,                0.19925,                0.95864,                0.97523,                0.98945,                0.99396,                0.89474,                0.44499,                0.20773,                0.97714,                0.45461,                0.16492,                0.97667,              0.0010405,              0.0010405,              0.0010405
                    184,                0.44323,                0.23869,                0.95899,                0.48477,                0.19572,                 0.9659,                0.98072,                0.99012,                0.99406,                0.89524,                0.44486,                0.20693,                0.97692,                0.45337,                0.16351,                0.97582,               0.000991,               0.000991,               0.000991
                    185,                0.44828,                0.24525,                 0.9524,                0.48901,                0.20602,                0.96144,                0.97665,                0.98995,                 0.9941,                0.89831,                0.44441,                0.20675,                0.97612,                 0.4526,                0.16357,                0.97517,              0.0009415,              0.0009415,              0.0009415
                    186,                0.44527,                0.24093,                0.95346,                0.48083,                  0.197,                0.96121,                0.97924,                0.98745,                0.99419,                0.89925,                0.44477,                 0.2063,                0.97687,                0.45325,                0.16443,                0.97587,               0.000892,               0.000892,               0.000892
                    187,                0.45037,                0.24108,                0.95425,                0.49097,                0.20154,                 0.9623,                0.97302,                0.98453,                0.99404,                0.89583,                0.44366,                0.20658,                0.97683,                0.45317,                0.16558,                0.97621,              0.0008425,              0.0008425,              0.0008425
                    188,                0.44058,                0.23893,                0.95065,                0.47748,                0.19569,                  0.959,                0.97292,                0.98745,                0.99403,                0.89543,                0.44334,                0.20413,                0.97678,                0.45218,                 0.1646,                0.97578,               0.000793,               0.000793,               0.000793
                    189,                0.44516,                0.24178,                0.95394,                0.48065,                0.19914,                0.96142,                0.97022,                0.98591,                0.99385,                0.89599,                0.44319,                0.20382,                0.97708,                0.45258,                0.16657,                0.97633,              0.0007435,              0.0007435,              0.0007435
                    190,                0.43843,                 0.2329,                0.95434,                0.47683,                0.18947,                0.96293,                0.97563,                  0.981,                0.99328,                0.89422,                0.44418,                0.20482,                0.97814,                 0.4542,                0.17236,                0.97763,               0.000694,               0.000694,               0.000694
                    191,                0.39578,                0.20643,                0.92665,                0.41404,                0.15268,                0.93125,                0.97966,                0.98404,                0.99351,                 0.8952,                0.44408,                0.20465,                 0.9782,                0.45383,                0.16827,                0.97717,              0.0006445,              0.0006445,              0.0006445
                    192,                0.39287,                0.20417,                0.92928,                 0.4124,                0.15118,                0.93384,                0.98098,                0.98104,                0.99386,                0.89548,                0.44519,                0.20443,                0.97915,                0.45545,                0.16489,                0.97783,               0.000595,               0.000595,               0.000595
                    193,                0.39071,                0.20246,                0.92159,                0.41472,                0.15117,                0.92622,                0.98627,                0.98227,                0.99394,                0.89382,                0.44613,                0.20474,                0.97936,                0.45686,                0.16464,                0.97795,              0.0005455,              0.0005455,              0.0005455
                    194,                0.39304,                0.20359,                0.91821,                 0.4147,                0.14836,                 0.9218,                0.98438,                0.98173,                0.99396,                0.89421,                0.44637,                0.20484,                0.97987,                0.45722,                0.16517,                 0.9784,               0.000496,               0.000496,               0.000496
                    195,                0.38797,                0.19828,                 0.9231,                0.40936,                0.14823,                0.92669,                0.98039,                0.98157,                0.99382,                0.89566,                0.44647,                0.20485,                0.97993,                0.45687,                0.16432,                0.97811,              0.0004465,              0.0004465,              0.0004465
                    196,                0.38646,                0.19767,                0.92179,                0.40645,                0.14543,                0.92325,                0.98383,                0.98412,                0.99397,                0.89572,                0.44706,                0.20504,                0.98026,                  0.457,                0.16467,                0.97827,               0.000397,               0.000397,               0.000397
                    197,                 0.3874,                0.19683,                 0.9219,                0.40647,                0.14106,                0.92651,                0.98562,                 0.9804,                0.99391,                 0.8955,                0.44738,                0.20538,                0.98068,                 0.4575,                0.16281,                 0.9788,              0.0003475,              0.0003475,              0.0003475
                    198,                0.38286,                0.19671,                0.92467,                0.39883,                0.14389,                0.92789,                0.97369,                0.98745,                0.99377,                0.89406,                0.44738,                0.20505,                0.98083,                0.45694,                0.16634,                0.97896,               0.000298,               0.000298,               0.000298
                    199,                0.38495,                0.19502,                0.91848,                 0.4042,                0.14248,                0.92224,                0.97979,                0.98526,                0.99404,                0.89299,                0.44762,                0.20534,                 0.9808,                 0.4576,                0.16148,                0.97957,              0.0002485,              0.0002485,              0.0002485
                    200,                0.38308,                0.19521,                0.91704,                0.40357,                 0.1428,                0.92074,                0.97681,                0.98518,                0.99392,                0.89325,                0.44779,                0.20578,                0.98105,                0.45781,                0.16472,                0.98011,               0.000199,               0.000199,               0.000199
